/api/|GET|public|GET=200|working
/api/ai/history|DELETE,GET|required|GET=200|working
/api/ai/query|POST|required||not-probed-mutating
/api/ai/quick/blending-suggestion|GET|required|GET=200|working
/api/ai/quick/boiler-alerts|GET|required|GET=200|working
/api/ai/quick/coa-alerts|GET|required|GET=200|working
/api/ai/quick/contract-status|GET|required|GET=200|working
/api/ai/quick/logistics-losses|GET|required|GET=200|working
/api/ai/quick/smart-stock|GET|required|GET=200|working
/api/ai/sessions|GET|required|GET=200|working
/api/ai/sessions/new|POST|required||not-probed-mutating
/api/ai/sessions/{session_id}|DELETE,GET|required|GET=skipped(path-param)|not-probed-path-param
/api/ai/settings|GET,PUT|required|GET=200|working
/api/auth/login|POST|public||not-probed-mutating
/api/auth/me|GET|required|GET=200|working
/api/auth/register|POST|public||not-probed-mutating
/api/barges|DELETE,GET,POST|required|GET=200|working
/api/barges/{barge_id}|DELETE,GET,PUT|required|GET=skipped(path-param)|not-probed-path-param
/api/biomassa|DELETE,GET,POST|required|GET=200|working
/api/biomassa/{biomassa_id}|DELETE,GET,PUT|required|GET=skipped(path-param)|not-probed-path-param
/api/coa-reconciliation|DELETE,GET|required|GET=200|working
/api/coa-reconciliation/dispute-monitor|GET|required|GET=200|working
/api/coa-reconciliation/export/excel|GET|required|GET=200|working
/api/coa-reconciliation/export/pdf|GET|required|GET=200|working
/api/coa-reconciliation/kpis|GET|required|GET=200|working
/api/coa-reconciliation/manual|POST|required||not-probed-mutating
/api/coa-reconciliation/propose-umpire|POST|required||not-probed-mutating
/api/coa-reconciliation/shipment/{shipment}|GET|required|GET=skipped(path-param)|not-probed-path-param
/api/coa-reconciliation/submit-umpire-result|POST|required||not-probed-mutating
/api/coa-reconciliation/supplier-consistency|GET|required|GET=200|working
/api/coa-reconciliation/trend|GET|required|GET=200|working
/api/coa-reconciliation/update-umpire-status/{record_id}|POST|required||not-probed-mutating
/api/coa-reconciliation/upload|POST|required||not-probed-mutating
/api/coa-reconciliation/{record_id}|GET|required|GET=skipped(path-param)|not-probed-path-param
/api/dashboard/advanced|GET|required|GET=200|working
/api/dashboard/stats|GET|required|GET=200|working
/api/health|GET|public|GET=200|working
/api/merit-order|DELETE,GET,POST|required|GET=200|working
/api/merit-order/periods|GET|required|GET=200|working
/api/merit-order/{mo_id}|DELETE,GET,PUT|required|GET=skipped(path-param)|not-probed-path-param
/api/po-batubara|DELETE,GET,POST|required|GET=200|working
/api/po-batubara/years|GET|required|GET=200|working
/api/po-batubara/{po_id}|DELETE,GET,PUT|required|GET=skipped(path-param)|not-probed-path-param
/api/settings/coa|GET,PUT|required|GET=200|working
/api/smart-blending/recommend|POST|required||not-probed-mutating
/api/smart-stock|DELETE,GET|required|GET=200|working
/api/smart-stock/entry|POST|required||not-probed-mutating
/api/smart-stock/upload|POST|required||not-probed-mutating
/api/smart-stock/{entry_id}|DELETE|required||not-probed-mutating
/api/sumber-pemakaian|DELETE,GET|required|GET=200|working
/api/sumber-pemakaian/entry|POST|required||not-probed-mutating
/api/sumber-pemakaian/upload|POST|required||not-probed-mutating
/api/suppliers|GET|required|GET=200|working
/api/trucking|DELETE,GET,POST|required|GET=200|working
/api/trucking/{trucking_id}|DELETE,GET,PUT|required|GET=skipped(path-param)|not-probed-path-param
/api/upload/barge|POST|required||not-probed-mutating
/api/upload/biomassa|POST|required||not-probed-mutating
/api/upload/merit-order|POST|required||not-probed-mutating
/api/upload/po-batubara|POST|required||not-probed-mutating
/api/upload/trucking|POST|required||not-probed-mutating
/api/upload/vessel|POST|required||not-probed-mutating
/api/users|GET|required|GET=200|working
/api/vessels|DELETE,GET,POST|required|GET=200|working
/api/vessels/{vessel_id}|DELETE,GET,PUT|required|GET=skipped(path-param)|not-probed-path-param
